"segment_id","text","dataset_type","source_file","language","source","src_segmentnr","src_original","tgt_segmentnr","tgt_original","src_language","tgt_language"
"lzh-iti83:0.1","本事經 2 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:0.2","(83) ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.1","吾從世尊。聞如是語。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.2","苾芻當知。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.3","尋求有二。更無第三。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.4","云何爲二。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.5","謂聖尋求。非聖尋求。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.6","云何名爲非聖尋求。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.7","謂有一類。已有老法。尋求老法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.8","已有病法。尋求病法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.9","已有死法。尋求死法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.10","已有愁法。尋求愁法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:1.11","已有染法。尋求染法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:2.1","云何老法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:2.2","所謂妻子奴婢僕使。象馬牛羊鷄猪田宅。金銀財穀 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:2.3","是名老法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:2.4","如是老法。是諸有情生死苦本。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:2.5","愚夫異生。於此守護。染愛耽著。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:2.6","由此不能解脱生死故名老法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:3.1","云何病法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:3.2","所謂妻子奴婢僕使。廣説乃至。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:3.3","由此不能解脱生死 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:3.4","故名病法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:4.1","云何死法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:4.2","所謂妻子奴婢僕使廣説乃至。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:4.3","由此不能解脱生死 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:4.4","故名死法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:5.1","云何愁法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:5.2","所謂妻子奴婢僕使廣説乃至。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:5.3","由此不能解脱生死 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:5.4","故名愁法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:6.1","云何染法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:6.2","所謂妻子奴婢僕使。象馬牛羊。鷄猪田宅。金銀財穀。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:6.3","是名染法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:6.4","如是染法。是諸有情。生死苦本。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:6.5","愚夫異生。於此守護。染愛耽著。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:6.6","由此不能解脱生死 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:6.7","故名染法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.1","若有於此。愛樂尋求。當知是名非聖尋求。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.2","如是尋求如來終不稱揚讃歎。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.3","唯勸導之令知捨離。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.4","何縁如是非聖尋求。如來終不稱揚讃歎。唯勸導之。令知捨離。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.5","由此尋求。非賢聖法。非能出離非趣涅槃。非厭非離。非滅非靜。非得通慧。非成等覺。非證涅槃。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.6","由此尋求。能引一切生老病死愁歎憂苦諸熱惱法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.7","是故如是非聖尋求。如來終不稱揚讃歎。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:7.8","唯勸導之。令知捨離。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:8.1","云何名爲是聖尋求。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:8.2","謂有一類。已有老法。能自了知 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:8.3","我有老法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:8.4","能如實知老法過患。尋求畢竟。無老無上安樂涅槃。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:9.1","已有病法。能自了知。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:9.2","我有病法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:9.3","能如實知病法過患。尋求畢竟。無病無上安樂涅槃。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:10.1","已有死法。能自了知。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:10.2","我有死法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:10.3","能如實知死法過患。尋求畢竟。無死無上安樂涅槃。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:11.1","已有愁法。能自了知。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:11.2","我有愁法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:11.3","能如實知愁法過患。尋求畢竟。無愁無上安樂涅槃。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:12.1","已有染法。能自了知。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:12.2","我有染法。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:12.3","能如實知染法過患。尋求畢竟。無染無上安樂涅槃。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:12.4","如是名爲是聖尋求。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:13.1","如是尋求。一切如來。稱揚讃歎。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:13.2","何縁如是是聖尋求。一切如來稱揚讃歎。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:13.3","由此尋求。是賢聖法。能永出離。能趣涅槃。能厭能離。能滅能靜。能得通慧。能成等覺。能證涅槃。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:13.4","由此尋求。能超一切生老病死愁歎憂苦生死熱惱。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:13.5","是故如是。是聖尋求。一切如來。稱揚讃歎。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:14.1","如是名爲尋求。有二 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:14.2","更無第三。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:14.3","是故汝等。應如是學。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:14.4","我當云何。遠離如是非聖尋求修行。如是是聖尋求。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:14.5","汝等苾芻。應如是學。 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:15.1","爾時世尊。重攝此義。而説頌曰 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:16.1","一切有情類 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:16.2","有二種尋求 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:16.3","更無有第三 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:16.4","謂聖與非聖 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:17.1","不知老病死 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:17.2","愁染法過患 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:17.3","希求深愛著 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:17.4","名非聖尋求 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:18.1","此増長衆苦 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:18.2","出離未爲期 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:18.3","從生復至生 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:18.4","或高或下趣 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:19.1","善知老病死 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:19.2","愁染法過患 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:19.3","希求彼寂滅 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:19.4","名眞聖尋求 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:20.1","此損減衆苦 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:20.2","速證於涅槃 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:20.3","永安樂清涼 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:20.4","常無漏無怖 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
"lzh-iti83:21.1","彼非聖尋求 ","monolingual","chinese_suttacentral.json","Chinese","","","","","","",""
